epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
 0,     0.90151,     0.59213,       0.92672,        0.75129,        0.61649,        0.68771,        0.49343,        1.1774,         inf,     1.0897,     0.070029,      0.0033302,      0.0033302
 1,     0.83188,     0.47763,       0.91073,        0.77521,        0.63766,         0.7214,        0.52924,        1.0922,      1.0283,     1.0619,     0.039765,      0.0063996,      0.0063996
 2,     0.79584,       0.445,       0.89928,        0.76893,        0.73325,        0.79263,        0.58349,        1.0611,     0.90338,     1.0279,    0.0092369,      0.0092051,      0.0092051
 3,      0.7236,     0.38526,       0.87813,        0.78155,        0.65327,         0.7316,        0.54764,        1.0611,         inf,     1.0274,     0.070029,      0.0033302,      0.0033302
 4,     0.73346,     0.39302,       0.88073,        0.76776,        0.67304,        0.75079,        0.56674,        1.0522,         inf,      1.032,     0.039729,      0.0063636,      0.0063636
 5,     0.73824,     0.39701,        0.8817,        0.78432,        0.71129,        0.78102,        0.58731,        1.0709,     0.97672,     1.0366,    0.0091289,      0.0090971,      0.0090971
 6,     0.73088,     0.39008,       0.88053,        0.80253,        0.70652,        0.77797,        0.59186,        1.0359,         inf,     1.0181,      0.00865,        0.00865,        0.00865
 7,     0.71569,     0.37806,       0.87602,        0.77646,        0.71403,        0.78021,        0.58865,        1.0474,         inf,     1.0192,      0.00865,        0.00865,        0.00865
 8,     0.70226,     0.36706,        0.8722,        0.79389,        0.70979,        0.79032,        0.60082,        1.0249,         inf,          1,       0.0082,         0.0082,         0.0082
 9,     0.69135,     0.35791,       0.86889,         0.7883,        0.70658,        0.77779,        0.59192,        1.0264,         inf,     1.0086,      0.00775,        0.00775,        0.00775
10,     0.68171,      0.3507,       0.86604,        0.79555,        0.70467,        0.78402,         0.6033,        1.0236,         inf,     1.0017,       0.0073,         0.0073,         0.0073
11,     0.67319,     0.34446,       0.86385,        0.78642,         0.7178,         0.7916,        0.60646,        1.0186,         inf,     1.0032,      0.00685,        0.00685,        0.00685
12,     0.66536,     0.33862,       0.86173,        0.79724,        0.71476,         0.7937,         0.6111,        1.0016,         inf,    0.99816,       0.0064,         0.0064,         0.0064
13,     0.65975,     0.33398,       0.86027,        0.78602,         0.7032,        0.78394,        0.60494,        1.0121,         inf,    0.99993,      0.00595,        0.00595,        0.00595
14,     0.65296,     0.32874,       0.85809,        0.78942,        0.70911,        0.78778,        0.60773,        1.0223,         inf,     1.0024,       0.0055,         0.0055,         0.0055
15,     0.64642,     0.32373,         0.856,        0.78728,        0.70568,        0.78495,        0.60631,         1.016,         inf,    0.99914,      0.00505,        0.00505,        0.00505
16,     0.64086,     0.32006,       0.85579,        0.79212,        0.70588,        0.78662,        0.60803,        1.0129,         inf,     0.9995,       0.0046,         0.0046,         0.0046
17,     0.63578,     0.31594,       0.85442,        0.78406,        0.70391,         0.7828,         0.6065,         1.012,         inf,    0.99908,      0.00415,        0.00415,        0.00415
18,     0.63653,     0.32013,        0.8542,         0.7955,        0.66284,        0.74578,        0.56608,        1.0947,         inf,      1.042,     0.070029,      0.0033302,      0.0033302
19,     0.64428,     0.32532,       0.85622,        0.76988,        0.70835,        0.76929,        0.58778,        1.0374,         inf,     1.0175,     0.039086,      0.0057211,      0.0057211
20,     0.64686,      0.3266,       0.85653,        0.78318,         0.6929,        0.77384,        0.59258,        1.0552,         inf,     1.0153,     0.007201,      0.0071691,      0.0071691
21,      0.6421,     0.32192,       0.85539,        0.78306,        0.69477,        0.76982,        0.59575,        1.0308,         inf,      1.006,    0.0057571,      0.0057571,      0.0057571
22,     0.63889,     0.32072,       0.85488,        0.80128,        0.69419,        0.77744,        0.60244,        1.0371,         inf,      1.009,    0.0057571,      0.0057571,      0.0057571
23,     0.62889,     0.31201,       0.85241,        0.79128,        0.68827,        0.77748,         0.6021,         1.027,         inf,     1.0067,    0.0043429,      0.0043429,      0.0043429
24,     0.61794,     0.30287,       0.84958,        0.79105,        0.68953,        0.77496,        0.60331,        1.0223,         inf,     1.0082,    0.0029286,      0.0029286,      0.0029286
